RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,DateofCalculation,meanLong,meanLat,BeamWidth,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,Depth_gam,DateofCalculation_Dataproduct
HH,SNS,3,NL,64SS,BT6,NA,NA,NA,606_16,16,2002,9,17,845,NA,15,D,53.5006,3.8013,NA,NA,36F3,34,V,606_16,1,1,R,-9,NA,4,1657,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,160,4,-9,NA,-9,NA,-9,330,7,NA,-9,17.4,-9,-9,-9,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,20210324,3.8013,53.5006,6,NA,NA,0.009942,34,20210618
HH,SNS,3,NL,64SS,BT6,NA,NA,NA,640_02,2,2002,9,12,1320,NA,15,D,52.1833,4.184,NA,NA,33F4,22,V,640_02,1,1,R,-9,NA,4,1659,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,330,4,-9,NA,-9,NA,-9,30,2,NA,-9,19,-9,-9,-9,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,20210324,4.184,52.1833,6,NA,NA,0.009954,22,20210618
HH,SNS,3,NL,64SS,BT6,NA,NA,NA,601_40,40,2002,9,20,1210,NA,15,D,55.3846,7.85,NA,NA,39F7,22,V,601_40,1,1,R,-9,NA,4,1657,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,125,4,-9,NA,-9,NA,-9,330,7,NA,-9,17.3,-9,-9,-9,NA,NA,40,3,NA,NA,NA,NA,NA,NA,20210324,7.85,55.3846,6,NA,NA,0.009942,22,20210618
HH,SNS,3,NL,64SS,BT6,NA,NA,NA,601_38,38,2002,9,20,900,NA,15,D,55.3838,7.3176,NA,NA,39F7,29,V,601_38,1,1,R,-9,NA,4,1687,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,70,4,-9,NA,-9,NA,-9,330,4,NA,-9,16.8,-9,-9,-9,NA,NA,40,4,NA,NA,NA,NA,NA,NA,20210324,7.3176,55.3838,6,NA,NA,0.010122,29,20210618
HH,SNS,3,NL,64SS,BT6,NA,NA,NA,603_44,44,2002,9,23,830,NA,15,D,54.7506,8.0333,NA,NA,38F8,13,V,603_44,1,1,R,-9,NA,4,1633,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,180,4,-9,NA,-9,NA,-9,30,7,NA,-9,15.9,-9,-9,-9,NA,NA,40,2,NA,NA,NA,NA,NA,NA,20210324,8.0333,54.7506,6,NA,NA,0.009798,13,20210618
HH,SNS,3,NL,64SS,BT6,NA,NA,NA,630_10,10,2002,9,16,1310,NA,15,D,52.5011,4.1841,NA,NA,34F4,26,V,630_10,1,1,R,-9,NA,4,1666,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,85,4,-9,NA,-9,NA,-9,0,4,NA,-9,18.5,-9,-9,-9,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,20210324,4.1841,52.5011,6,NA,NA,0.009996,26,20210618
HH,SNS,3,NL,64SS,BT6,NA,NA,NA,660_12,12,2002,9,16,1750,NA,15,D,52.8171,4.4333,NA,NA,34F4,27,V,660_12,1,1,R,-9,NA,4,1676,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,35,4,-9,NA,-9,NA,-9,0,4,NA,-9,19.2,-9,-9,-9,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,20210324,4.4333,52.8171,6,NA,NA,0.010056,27,20210618
HH,SNS,3,NL,64SS,BT6,NA,NA,NA,630_34,34,2004,9,30,1145,NA,15,D,52.502,3.5477,52.4843,3.5454,34F3,30,V,630_34,1,1,R,-9,NA,4,1694,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,180,4,-9,NA,-9,NA,-9,158,4,NA,-9,16.1,-9,-9,-9,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,20210323,3.54655,52.49315,6,NA,NA,0.010164,30,20210618
HH,SNS,3,NL,64SS,BT6,NA,NA,NA,660_28,28,2004,9,29,1600,NA,15,D,52.7736,4.4976,52.7593,4.5062,34F4,23,V,660_28,1,1,R,-9,NA,4,1709,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,170,4,-9,NA,-9,NA,-9,338,4,NA,-9,15.8,-9,-9,-9,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,20210323,4.5019,52.76645,6,NA,NA,0.010254,23,20210618
HH,SNS,3,NL,64SS,BT6,NA,NA,NA,608_12,12,2004,9,17,936,NA,15,D,53.826,7.3826,53.8327,7.4153,36F7,25,V,608_12,1,1,R,-9,NA,4,1846,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,70,4,-9,NA,-9,NA,-9,203,9,NA,-9,16.4,-9,-9,-9,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,20210323,7.39895,53.82935,6,NA,NA,0.011076,25,20210618
