RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,DateofCalculation,meanLong,meanLat,BeamWidth,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,Depth_gam,DateofCalculation_Dataproduct
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63836,36,2002,9,17,1210,"D3",15,D,51.3803,4.0485,NA,NA,31F4,15,V,63836,1,1,R,-9,"BC",1,1960,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,225,3,NA,-9,17.4,-9,-9,-9,NA,NA,20,1,NA,660,NA,NA,NA,NA,20171013,4.0485,51.3803,3,NA,NA,0.00588,15,20210618
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63834,34,2002,9,17,841,"D2",15,D,51.3811,4.2283,NA,NA,31F4,7,V,63834,1,1,R,-9,"BC",1,1270,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,45,3,NA,-9,18.3,-9,-9,-9,NA,NA,20,1,NA,180,NA,NA,NA,NA,20171013,4.2283,51.3811,3,NA,NA,0.00381,7,20210618
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63452,52,2002,9,19,1307,"D3",15,D,51.6248,4.069,NA,NA,32F4,15,V,63452,1,1,R,-9,"BC",1,1700,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,0,3,NA,-9,16.9,-9,-9,-9,NA,NA,20,3,NA,0,NA,NA,NA,NA,20171013,4.069,51.6248,3,NA,NA,0.0051,15,20210618
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63473,73,2002,9,25,913,"D2",15,D,51.634,3.8476,NA,NA,32F3,10,V,63473,1,1,R,-9,"BC",1,1680,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,0,4,NA,-9,15.4,-9,-9,-9,NA,NA,20,2,NA,420,NA,NA,NA,NA,20171013,3.8476,51.634,3,NA,NA,0.00504,10,20210618
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63451,51,2002,9,19,922,"D4",15,D,51.641,4.0885,NA,NA,32F4,18,V,63451,1,1,R,-9,"BC",1,1650,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,0,3,NA,-9,16.9,-9,-9,-9,NA,NA,20,3,NA,240,NA,NA,NA,NA,20171013,4.0885,51.641,3,NA,NA,0.00495,18,20210618
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63476,76,2002,9,25,1241,"D3",15,D,51.6415,3.8061,NA,NA,32F3,11,V,63476,1,1,R,-9,"BC",1,1160,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,0,4,NA,-9,15.3,-9,-9,-9,NA,NA,20,2,NA,240,NA,NA,NA,NA,20171013,3.8061,51.6415,3,NA,NA,0.00348,11,20210618
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63477,77,2002,9,25,1309,"D4",15,D,51.644,3.7585,NA,NA,32F3,16,V,63477,1,1,R,-9,"BC",1,1140,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,0,4,NA,-9,15.3,-9,-9,-9,NA,NA,20,2,NA,240,NA,NA,NA,NA,20171013,3.7585,51.644,3,NA,NA,0.00342,16,20210618
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63463,63,2002,9,24,818,"D1",15,D,51.6456,3.8728,NA,NA,32F3,2,V,63463,1,1,R,-9,"BC",1,1820,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,45,5,NA,-9,15.7,-9,-9,-9,NA,NA,20,2,NA,480,NA,NA,NA,NA,20171013,3.8728,51.6456,3,NA,NA,0.00546,2,20210618
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63474,74,2002,9,25,1150,"D1",12,D,51.649,3.794,NA,NA,32F3,2,V,63474,1,1,R,-9,"BC",1,1080,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,0,4,NA,-9,15.2,-9,-9,-9,NA,NA,20,2,NA,300,NA,NA,NA,NA,20171013,3.794,51.649,3,NA,NA,0.00324,2,20210618
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63450,50,2002,9,19,854,"D3",15,D,51.6588,4.12,NA,NA,32F4,11,V,63450,1,1,R,-9,"BC",1,1350,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,0,3,NA,-9,16.6,-9,-9,-9,NA,NA,20,3,NA,240,NA,NA,NA,NA,20171013,4.12,51.6588,3,NA,NA,0.00405,11,20210618
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63454,54,2002,9,23,1208,"D3",15,D,51.6588,4.12,NA,NA,32F4,12,V,63454,1,1,R,-9,"BC",1,1520,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,45,6,NA,-9,16.1,-9,-9,-9,NA,NA,20,2,NA,240,NA,NA,NA,NA,20171013,4.12,51.6588,3,NA,NA,0.00456,12,20210618
HH,DYFS,3,NL,646A,BT3,NA,NA,NA,63464,64,2002,9,24,840,"D3",15,D,51.6631,3.8523,NA,NA,32F3,14,V,63464,1,1,R,-9,"BC",1,1580,NA,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,2.5,4,NA,-9,NA,-9,45,5,NA,-9,15.7,-9,-9,-9,NA,NA,20,2,NA,420,NA,NA,NA,NA,20171013,3.8523,51.6631,3,NA,NA,0.00474,14,20210618
