Plaice in IV+IIIa: Mean weight of discards (kg) 2022-01-17 09:39:27 
1 6  
1957 2020 
1 10 
1 
0 0.165 0.201 0.258 0.353 0.456 0.533 0.589 0.396 0.998
0 0.198 0.221 0.259 0.337 0.453 0.513 0.615 0.665 0.992
0 0.218 0.246 0.293 0.362 0.473 0.592 0.623 0.75 1
0 0.2 0.236 0.289 0.386 0.485 0.601 0.683 0.724 1.094
0 0.191 0.233 0.302 0.412 0.509 0.604 0.671 0.812 1.071
0 0.211 0.248 0.3 0.4 0.541 0.57 0.692 0.777 1.127
0 0.253 0.286 0.319 0.399 0.533 0.624 0.667 0.715 1.028
0 0.25 0.273 0.312 0.388 0.487 0.628 0.7 0.737 1.005
0 0.242 0.282 0.321 0.385 0.471 0.539 0.663 0.726 0.887
0 0.232 0.27 0.348 0.436 0.484 0.559 0.624 0.69 0.933
0 0.232 0.279 0.322 0.425 0.547 0.597 0.662 0.738 0.978
0 0.267 0.298 0.331 0.366 0.517 0.59 0.596 0.686 0.911
0.217 0.294 0.31 0.333 0.359 0.412 0.573 0.655 0.658 0.893
0.315 0.286 0.318 0.356 0.419 0.443 0.499 0.672 0.744 0.892
0.256 0.318 0.356 0.403 0.448 0.514 0.542 0.607 0.699 0.891
0.246 0.296 0.352 0.428 0.493 0.541 0.608 0.646 0.674 0.939
0.272 0.316 0.344 0.405 0.486 0.539 0.605 0.627 0.677 0.842
0.285 0.311 0.354 0.405 0.476 0.554 0.609 0.693 0.707 0.926
0.249 0.3 0.33 0.42 0.495 0.587 0.636 0.703 0.783 1.019
0.265 0.295 0.338 0.375 0.513 0.594 0.641 0.705 0.741 0.98
0.254 0.323 0.353 0.38 0.418 0.556 0.647 0.721 0.715 0.978
0.244 0.315 0.369 0.397 0.438 0.491 0.609 0.687 0.776 0.95
0.235 0.311 0.349 0.388 0.429 0.474 0.55 0.675 0.796 0.96
0.238 0.286 0.344 0.401 0.473 0.545 0.588 0.662 0.772 1.013
0.237 0.274 0.329 0.416 0.505 0.558 0.604 0.642 0.725 1.007
0.279 0.262 0.311 0.424 0.514 0.608 0.664 0.712 0.738 0.984
0.2 0.25 0.3 0.383 0.515 0.604 0.677 0.771 0.815 0.984
0.231 0.263 0.283 0.364 0.48 0.591 0.677 0.726 0.839 1.036
0.245 0.264 0.29 0.335 0.445 0.563 0.667 0.73 0.807 1.021
0.221 0.269 0.303 0.339 0.405 0.473 0.668 0.75 0.856 1.014
0 0.249 0.299 0.345 0.378 0.472 0.574 0.728 0.835 0.993
0 0.254 0.278 0.341 0.418 0.478 0.59 0.68 0.808 1.017
0.236 0.28 0.308 0.331 0.385 0.515 0.591 0.668 0.785 0.94
0.271 0.284 0.297 0.315 0.364 0.441 0.586 0.69 0.761 1.01
0.227 0.286 0.292 0.302 0.36 0.452 0.526 0.666 0.743 0.924
0.251 0.263 0.29 0.312 0.33 0.415 0.53 0.607 0.719 0.891
0.249 0.273 0.288 0.319 0.343 0.408 0.512 0.63 0.72 0.856
0.229 0.263 0.284 0.333 0.375 0.417 0.491 0.61 0.731 0.906
0.272 0.277 0.301 0.335 0.375 0.42 0.474 0.593 0.734 0.906
0.24 0.279 0.304 0.346 0.415 0.465 0.49 0.553 0.712 0.858
0.208 0.271 0.313 0.355 0.41 0.474 0.541 0.574 0.616 0.912
0.151 0.26 0.306 0.384 0.452 0.546 0.613 0.673 0.687 0.899
0.245 0.253 0.28 0.347 0.415 0.416 0.538 0.637 0.748 0.804
0.228 0.267 0.283 0.312 0.378 0.461 0.597 0.689 0.752 0.888
0.238 0.267 0.291 0.307 0.36 0.412 0.582 0.701 0.796 0.799
0.237 0.264 0.289 0.311 0.336 0.43 0.477 0.644 0.76 0.904
0.232 0.252 0.285 0.32 0.353 0.389 0.482 0.635 0.763 0.857
0.214 0.246 0.281 0.328 0.391 0.429 0.508 0.56 0.797 0.872
0.272 0.265 0.28 0.33 0.382 0.426 0.465 0.555 0.617 0.91
0.253 0.267 0.282 0.322 0.383 0.389 0.457 0.477 0.531 0.748
0.263 0.268 0.303 0.343 0.364 0.432 0.507 0.486 0.587 0.632
0.249 0.269 0.309 0.341 0.4 0.446 0.531 0.72 0.64 0.638
0.176 0.26 0.308 0.355 0.415 0.481 0.531 0.608 0.668 0.792
0.206 0.265 0.308 0.348 0.418 0.476 0.516 0.625 0.682 0.649
0.235 0.242 0.281 0.341 0.414 0.504 0.604 0.521 0.556 0.804
0.236 0.258 0.305 0.351 0.38 0.436 0.518 0.558 0.558 0.68
0.031 0.242 0.281 0.313 0.364 0.417 0.494 0.6 0.607 0.68
0.207 0.252 0.285 0.318 0.368 0.418 0.479 0.543 0.628 0.65
0 0.251 0.284 0.321 0.359 0.409 0.473 0.487 0.582 0.6
0 0.249 0.271 0.296 0.35 0.385 0.45 0.531 0.556 0.684
0.212 0.247 0.276 0.299 0.357 0.41 0.455 0.543 0.642 0.735
0.167 0.243 0.259 0.287 0.306 0.356 0.4 0.447 0.439 0.622
0 0.249 0.258 0.295 0.349 0.388 0.431 0.488 0.504 0.601
0.211 0.236 0.264 0.269 0.302 0.333 0.372 0.422 0.451 0.562
