Plaice in IV+IIIa: Mean weight of catches (kg) 2022-01-17 09:39:27 
1 3  
1957 2020 
1 10 
1 
0.044 0.11 0.194 0.257 0.349 0.455 0.533 0.589 0.396 0.998
0.047 0.106 0.189 0.256 0.329 0.452 0.513 0.615 0.665 0.992
0.051 0.12 0.192 0.26 0.345 0.472 0.592 0.623 0.75 1
0.045 0.115 0.204 0.287 0.377 0.48 0.601 0.683 0.724 1.094
0.044 0.101 0.18 0.301 0.402 0.506 0.604 0.671 0.812 1.071
0.042 0.099 0.181 0.273 0.397 0.538 0.57 0.692 0.777 1.127
0.048 0.11 0.175 0.304 0.392 0.531 0.624 0.667 0.715 1.028
0.032 0.126 0.204 0.271 0.379 0.485 0.628 0.7 0.737 1.005
0.038 0.076 0.214 0.313 0.381 0.469 0.539 0.663 0.726 0.887
0.038 0.104 0.148 0.315 0.428 0.483 0.559 0.624 0.69 0.933
0.036 0.111 0.19 0.235 0.422 0.543 0.597 0.662 0.738 0.978
0.06 0.116 0.223 0.275 0.34 0.516 0.59 0.596 0.686 0.911
0.052 0.174 0.272 0.284 0.356 0.408 0.573 0.655 0.658 0.893
0.049 0.131 0.268 0.352 0.394 0.441 0.499 0.672 0.744 0.892
0.057 0.16 0.277 0.388 0.444 0.512 0.542 0.607 0.699 0.891
0.067 0.207 0.29 0.407 0.486 0.54 0.608 0.646 0.674 0.939
0.045 0.205 0.334 0.403 0.478 0.538 0.605 0.627 0.677 0.842
0.056 0.121 0.343 0.404 0.472 0.552 0.609 0.693 0.707 0.926
0.069 0.152 0.205 0.393 0.492 0.585 0.636 0.703 0.783 1.019
0.088 0.181 0.262 0.347 0.509 0.592 0.641 0.705 0.741 0.98
0.071 0.218 0.245 0.318 0.396 0.551 0.647 0.721 0.715 0.978
0.07 0.19 0.315 0.364 0.432 0.486 0.609 0.687 0.776 0.95
0.067 0.19 0.295 0.338 0.426 0.472 0.55 0.675 0.796 0.96
0.056 0.197 0.343 0.399 0.471 0.542 0.588 0.662 0.772 1.013
0.048 0.183 0.327 0.415 0.502 0.556 0.604 0.642 0.725 1.007
0.056 0.152 0.308 0.421 0.512 0.606 0.664 0.712 0.738 0.984
0.052 0.153 0.275 0.379 0.507 0.602 0.677 0.771 0.815 0.984
0.053 0.15 0.265 0.321 0.47 0.588 0.677 0.726 0.839 1.036
0.054 0.169 0.268 0.333 0.444 0.562 0.667 0.73 0.807 1.021
0.049 0.141 0.275 0.311 0.402 0.472 0.668 0.75 0.856 1.014
0.043 0.113 0.219 0.343 0.375 0.471 0.574 0.728 0.835 0.993
0.043 0.102 0.197 0.276 0.415 0.477 0.59 0.68 0.808 1.017
0.047 0.118 0.215 0.291 0.364 0.512 0.591 0.668 0.785 0.94
0.053 0.13 0.211 0.29 0.36 0.44 0.586 0.69 0.761 1.01
0.056 0.149 0.211 0.273 0.349 0.449 0.526 0.666 0.743 0.924
0.055 0.145 0.226 0.275 0.324 0.41 0.53 0.607 0.719 0.891
0.063 0.16 0.25 0.303 0.34 0.407 0.512 0.63 0.72 0.856
0.064 0.179 0.257 0.331 0.372 0.416 0.491 0.61 0.731 0.906
0.071 0.183 0.283 0.334 0.373 0.419 0.474 0.593 0.734 0.906
0.054 0.14 0.268 0.336 0.413 0.464 0.49 0.553 0.712 0.858
0.045 0.129 0.22 0.353 0.408 0.473 0.541 0.574 0.616 0.912
0.047 0.094 0.208 0.299 0.449 0.544 0.613 0.673 0.687 0.899
0.054 0.103 0.199 0.267 0.413 0.414 0.538 0.637 0.748 0.804
0.063 0.123 0.21 0.274 0.372 0.452 0.565 0.601 0.751 0.888
0.09 0.136 0.197 0.234 0.303 0.41 0.577 0.701 0.795 0.799
0.057 0.131 0.222 0.285 0.326 0.426 0.469 0.644 0.759 0.904
0.066 0.124 0.226 0.284 0.336 0.385 0.419 0.635 0.761 0.857
0.054 0.125 0.22 0.297 0.376 0.421 0.506 0.56 0.794 0.872
0.067 0.117 0.213 0.298 0.352 0.347 0.453 0.554 0.603 0.91
0.06 0.139 0.212 0.293 0.375 0.383 0.428 0.457 0.531 0.423
0.059 0.114 0.223 0.31 0.351 0.375 0.491 0.357 0.181 0.349
0.057 0.123 0.248 0.325 0.389 0.437 0.368 0.469 0.606 0.385
0.061 0.125 0.232 0.327 0.399 0.466 0.518 0.441 0.665 0.07
0.062 0.132 0.226 0.311 0.396 0.442 0.463 0.574 0.563 0.396
0.048 0.115 0.212 0.277 0.369 0.453 0.595 0.445 0.556 0.114
0.052 0.096 0.196 0.294 0.348 0.425 0.509 0.557 0.474 0.261
0.051 0.091 0.179 0.274 0.345 0.409 0.49 0.599 0.605 0.68
0.025 0.093 0.172 0.253 0.318 0.396 0.473 0.542 0.589 0.65
0.026 0.08 0.162 0.258 0.326 0.394 0.461 0.481 0.581 0.576
0.048 0.084 0.157 0.243 0.299 0.352 0.422 0.465 0.546 0.684
0.051 0.086 0.159 0.218 0.314 0.386 0.438 0.532 0.642 0.735
0.058 0.089 0.148 0.207 0.254 0.329 0.38 0.44 0.437 0.62
0.044 0.092 0.155 0.218 0.27 0.311 0.372 0.435 0.493 0.598
0.054 0.083 0.152 0.194 0.249 0.284 0.312 0.387 0.399 0.56
